sno,COMP_CODE,CAT_CODE,SUBJECT_CODE,COURSE_NAME,TOTAL_UNITS,LECTURE_UNITS,PRACTICAL_UNITS,STATUS,PROGRAM_CODE,CDC_DEL,CDC_YEAR,EVEN_SEM,ODD_SEM,SUMMER_TERM
418,1077,EEE,F211,ELECTRICAL MACHINES,4,3,1,active,A3,CDC,2,FALSE,TRUE,FALSE
419,1078,EEE,F212,ELECTROMAGNETIC THEO I,3,3,0,active,A3,CDC,2,FALSE,TRUE,FALSE
420,1079,EEE,F215,DIGITAL DESIGN,4,3,1,active,A3,CDC,2,TRUE,FALSE,FALSE
421,1022,MATH,F211,MATHEMATICS III,3,3,0,active,B4,CDC,2,FALSE,TRUE,FALSE
422,1122,MATH,F212,OPTIMIZATION,3,3,0,active,B4,CDC,2,FALSE,TRUE,FALSE
423,1467,MATH,F243,GRAPHS AND NETWORKS,3,3,0,active,B4,CDC,2,TRUE,FALSE,FALSE
424,1124,MATH,F214,ELEMENTARY REAL ANALYSIS,3,3,0,active,B4,CDC,2,TRUE,FALSE,FALSE
425,1125,MATH,F215,ALGEBRA I,3,3,0,active,B4,CDC,2,TRUE,FALSE,FALSE
426,1083,ME,F211,MECHANICS OF SOLIDS,3,3,0,active,A4,CDC,2,FALSE,TRUE,FALSE
427,1082,ME,F212,FLUID MECHANICS,3,3,0,active,A4,CDC,2,FALSE,TRUE,FALSE
428,1081,ME,F213,MATERIALS SCIENCE & ENGG,2,2,0,active,A4,CDC,3,FALSE,TRUE,FALSE
429,1084,ME,F214,APPLIED THERMODYNAMICS,3,3,0,active,A4,CDC,2,TRUE,FALSE,FALSE
430,1265,ME,F243,PRODUCTION TECHNIQUES I,3,2,1,active,A4,CDC,2,TRUE,FALSE,FALSE
431,1293,PHA,F243,INDUSTRIAL PHARMACY,3,2,1,active,A5,CDC,2,TRUE,FALSE,FALSE
432,1088,PHA,F213,MICROBIOLOGY,3,2,1,active,A5,CDC,3,FALSE,TRUE,FALSE
433,1440,BIO,F413,MOLECULAR BIO OF CELL,3,3,0,active,B1,DEL,0,FALSE,FALSE,FALSE
434,1087,PHA,F214,ANATOMY PHYSIO & HYGIENE,3,2,1,active,A5,CDC,2,TRUE,FALSE,FALSE
435,1126,PHY,F211,CLASSICAL MECHANICS,4,3,1,active,B5,CDC,2,FALSE,TRUE,FALSE
436,1127,PHY,F212,ELECTROMAGNETIC THEO I,3,3,0,active,B5,CDC,2,FALSE,TRUE,FALSE
437,1128,PHY,F213,OPTICS,3,3,0,active,B5,CDC,3,FALSE,TRUE,FALSE
438,1129,PHY,F214,ELEC MAGNET & OPTICS LAB,2,0,2,active,B5,CDC,2,TRUE,FALSE,FALSE
439,1080,EEE,F214,ELECTRONIC DEVICES,3,3,0,active,A3,CDC,2,TRUE,FALSE,FALSE
440,1116,CHEM,F211,PHYSICAL CHEMISTRY I,3,3,0,active,B2,CDC,2,FALSE,TRUE,FALSE
441,1001,BIO,F110,BIOLOGY LABORATORY,1,0,2,active,B1,CDC,1,TRUE,TRUE,FALSE
442,1002,BIO,F111,GENERAL BIOLOGY,3,3,0,active,B1,CDC,1,TRUE,TRUE,FALSE
443,1006,CHEM,F110,CHEMISTRY LABORATORY,1,0,2,active,B2,CDC,1,TRUE,TRUE,FALSE
444,1008,CS,F111,COMPUTER PROGRAMMING,4,3,1,active,A7,CDC,1,TRUE,TRUE,FALSE
445,1011,MATH,F112,MATHEMATICS II,3,3,0,active,B4,CDC,1,TRUE,FALSE,FALSE
446,1883,CS,F444,REAL TIME SYSTEMS,3,3,0,active,A7,DEL,0,FALSE,FALSE,FALSE
447,2277,BITS,F314,GAME THEORY AND ITS APPLICATIONS,3,3,0,active,B3,DEL,0,FALSE,FALSE,FALSE
448,556,CS,F402,COMPUTATIONAL GEOMETRY,3,3,0,active,A7,DEL,0,FALSE,FALSE,FALSE
449,1223,CE,F415,DES OF PREST CONC STRUCT,3,3,0,active,A2,DEL,0,FALSE,FALSE,FALSE
450,1509,PHY,F426,PHY OF SEMICONDUCTOR DEV,4,3,1,active,B5,DEL,0,FALSE,FALSE,FALSE
451,1288,ME,F472,PRECISION ENGINEERING,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
452,2280,CE,F231,FLUID MECHANICS,3,3,0,active,A2,CDC,2,FALSE,FALSE,FALSE
453,1259,EEE,F426,FIBRE OPTICS & OPTOELECT,3,3,0,active,A3,DEL,0,FALSE,FALSE,FALSE
454,1895,EEE,F477,MODELING OF FIELD-EFFECT NANO  DEVICES,3,3,0,active,A3,DEL,0,FALSE,FALSE,FALSE
455,1502,PHY,F419,ADV SOLID STATE PHYSICS,4,3,1,active,B5,DEL,0,FALSE,FALSE,FALSE
456,2504,PHA,F216,PHARMACEUTICAL FORMULATIONS I,3,2,1,active,A5,CDC,1,TRUE,FALSE,FALSE
457,2266,CS,F320,FOUNDATIONS OF DATA SCIENCE,3,3,0,active,A7,DEL,0,FALSE,FALSE,FALSE
458,2273,MATH,F432,APPLIED STATISTICAL METHODS,3,3,0,active,B4,DEL,0,FALSE,FALSE,FALSE
459,1224,CE,F428,EARTHQUAKE RES DES & CON,3,3,0,active,A2,DEL,0,FALSE,FALSE,FALSE
460,1941,BIO,F216,WATER SANITATION AND SOLID WASTE MANAGEMENT,3,3,0,active,B1,DEL,0,FALSE,FALSE,FALSE
461,2311,ME,F426,INDUSTRY 4.0 IN MANUFACTURING,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
462,2291,ME,F414,FUEL CELL SCIENCE AND TECHNOLOGY,3,3,0,active,A4,DEL,0,FALSE,FALSE,FALSE
